net_nav,ann_return,ann_vol,net_sharpe,gross_sharpe,max_drawdown,calmar,avg_turnover,total_turnover,n_days,method,encoder,run
1.1439436690292175,0.1531806092963088,0.0514880629164873,2.7688783594993724,2.7688783594993724,-0.0209901382500818,7.297741800043238,0.0,0.0,240,equal_weight,mlp,mlp_fast
1.0028522534468287,0.0049088914632098,0.0617862323609808,0.0792560013988344,1.6075719732255216,-0.0653662360283108,0.0750982733820521,0.1802032413937901,43.248777934509626,240,mlp_cql_thr0.2,mlp,mlp_fast
0.9189010372517188,-0.0826058537259499,0.0717926146521444,-1.2007269908938754,1.3153020908751822,-0.1335449551183223,-0.6185621437572107,0.348463562323421,83.63125495762105,240,mlp_cql_thr0.1,mlp,mlp_fast
0.8941510635775688,-0.108978364055118,0.0646297261891203,-1.784939579025342,1.425525665916065,-0.1276133797934091,-0.8539728689228442,0.4095917026579141,98.3020086378994,240,mlp_cql_thr0,mlp,mlp_fast
1.1439436690292175,0.1531806092963088,0.0514880629164873,2.7688783594993724,2.7688783594993724,-0.0209901382500818,7.297741800043238,0.0,0.0,240,equal_weight,tcn,tcn_fast
1.0161360831744322,0.0191138007200872,0.0653149408182701,0.2898898454571352,2.046654446002224,-0.0512004017502668,0.3733134910408715,0.2165705328672058,51.97692788812939,240,tcn_cql_thr0.2,tcn,tcn_fast
0.9297245383269874,-0.0720894074325402,0.0582185913323799,-1.2849639134882254,1.5356518203091885,-0.0902475495523124,-0.7987962863274561,0.313089536071393,75.14148865713432,240,tcn_cql_thr0.1,tcn,tcn_fast
0.8705036625740437,-0.132451239152987,0.084050598006669,-1.68997622984792,0.7955638953642603,-0.1404281357183242,-0.9431958807646816,0.4111272988056131,98.67055171334717,240,tcn_cql_thr0,tcn,tcn_fast
1.1439436690292175,0.1531806092963088,0.0514880629164873,2.7688783594993724,2.7688783594993724,-0.0209901382500818,7.297741800043238,0.0,0.0,240,equal_weight,cnn_lstm,cnn_lstm_fast
1.072693198234555,0.0790100027298359,0.0688654163216102,1.1044067600360192,1.797179206477841,-0.0521698654533738,1.5144758768919988,0.0930210701806685,22.325056843360457,240,cnn_lstm_cql_thr0.2,cnn_lstm,cnn_lstm_fast
1.0253337944116856,0.0311360346111717,0.0937585661107754,0.3270421818383151,1.1147588382464364,-0.0819015761292573,0.3801640466849228,0.1463169266773425,35.11606240256221,240,cnn_lstm_cql_thr0,cnn_lstm,cnn_lstm_fast
1.0120049105745514,0.016739548035572,0.0902491653212714,0.1839522031607143,0.9378077412183262,-0.082720062831904,0.202363821574805,0.1343804371704987,32.25130492091971,240,cnn_lstm_cql_thr0.1,cnn_lstm,cnn_lstm_fast
