baseline,n_days,active_nav,active_mean_daily,active_ir,active_hit_rate,active_max_drawdown,method
ew_buy_hold,1500,1.0972539627769269,8.158918587945592e-05,0.20647524336344286,0.4886666666666667,-0.23311679861335288,cnn_lstm_cql_thr0.2
ew_buy_hold,1500,0.4602550614546439,-0.0004846670050319246,-0.9557539439300576,0.466,-0.5479298654819035,cnn_lstm_cql_thr0.1
ew_buy_hold,1500,0.39208481585998706,-0.0005966467555751266,-1.2834265818149442,0.4513333333333333,-0.6185842600663068,cnn_lstm_cql_thr0
ew_daily_rebalanced,1500,1.1231647979877002,9.772205270610238e-05,0.24385945395300684,0.516,-0.2180468932670549,cnn_lstm_cql_thr0.2
ew_daily_rebalanced,1500,0.47176175689414895,-0.0004685341382052781,-0.9285232073646382,0.49866666666666665,-0.5373342055432881,cnn_lstm_cql_thr0.1
ew_daily_rebalanced,1500,0.40185645758524824,-0.00058051388874848,-1.254848186132593,0.472,-0.609783494214627,cnn_lstm_cql_thr0
ew_monthly_rebalanced,1500,1.1217923383714392,9.657254167173212e-05,0.24295568760002736,0.49333333333333335,-0.21971549435259388,cnn_lstm_cql_thr0.2
ew_monthly_rebalanced,1500,0.47042712704344475,-0.00046968364923964835,-0.9202720352676238,0.466,-0.5384806817015741,cnn_lstm_cql_thr0.1
ew_monthly_rebalanced,1500,0.4007658079290569,-0.0005816633997828502,-1.242212800664259,0.44866666666666666,-0.6106940642379949,cnn_lstm_cql_thr0
ew_zero_cost_target,1500,1.104479035590639,8.6535238120518e-05,0.21595346255479556,0.49066666666666664,-0.22189428419037602,cnn_lstm_cql_thr0.2
ew_zero_cost_target,1500,0.4639087149840291,-0.0004797209527908625,-0.9507326700520029,0.458,-0.5448306708834414,cnn_lstm_cql_thr0.1
ew_zero_cost_target,1500,0.39516611009172625,-0.0005917007033340644,-1.2790814753480686,0.44333333333333336,-0.6161280069949108,cnn_lstm_cql_thr0
