baseline,n_days,active_nav,active_mean_daily,active_ir,active_hit_rate,active_max_drawdown,method
ew_buy_hold,1500,0.9619751841158014,-6.555092959912079e-06,-0.01676795870799216,0.47733333333333333,-0.30667602220886764,cnn_lstm_cql_thr0.2
ew_buy_hold,1500,0.3629969476809973,-0.0006453452061680324,-1.325585402578765,0.446,-0.6443472548422818,cnn_lstm_cql_thr0.1
ew_buy_hold,1500,0.2777942352925461,-0.0008229297285784083,-1.6738780552670063,0.42933333333333334,-0.730329490963024,cnn_lstm_cql_thr0
ew_daily_rebalanced,1500,0.9809064015845551,6.675310538598045e-06,0.01697555544081838,0.5633333333333334,-0.3036791841639557,cnn_lstm_cql_thr0.2
ew_daily_rebalanced,1500,0.37056882889473053,-0.0006321148026695222,-1.3100309347921737,0.516,-0.6374625206512504,cnn_lstm_cql_thr0.1
ew_daily_rebalanced,1500,0.2834421845171246,-0.0008096993250798983,-1.651928828233542,0.474,-0.7253348470715183,cnn_lstm_cql_thr0
ew_monthly_rebalanced,1500,0.9803898501652722,6.0039053775646226e-06,0.015391794778251573,0.49,-0.30249960975542844,cnn_lstm_cql_thr0.2
ew_monthly_rebalanced,1500,0.3699891221165107,-0.0006327862078305556,-1.303088182968354,0.452,-0.6378584026977921,cnn_lstm_cql_thr0.1
ew_monthly_rebalanced,1500,0.2829812280324555,-0.0008103707302409316,-1.641986039470979,0.43333333333333335,-0.7256457724049317,cnn_lstm_cql_thr0
ew_zero_cost_target,1500,0.9646387392252846,-4.474532407147967e-06,-0.011379314636474147,0.4126666666666667,-0.3077444295021856,cnn_lstm_cql_thr0.2
ew_zero_cost_target,1500,0.36441781506675647,-0.0006432646456152682,-1.3331282159539932,0.378,-0.6433433056969615,cnn_lstm_cql_thr0.1
ew_zero_cost_target,1500,0.27873644451198437,-0.0008208491680256443,-1.6746603008433336,0.38266666666666665,-0.7298059310324809,cnn_lstm_cql_thr0
