net_nav,ann_return,ann_vol,net_sharpe,gross_sharpe,max_drawdown,calmar,avg_turnover,total_turnover,n_days,roll,method
1.047055744865712,0.7880255366034181,0.06059323642017482,9.601442841591245,9.601442841591245,-0.004465180969310934,176.48232894019213,0.0,0.0,20,0,cnn_lstm_cql_thr0
1.047055744865712,0.7880255366034181,0.06059323642017482,9.601442841591245,9.601442841591245,-0.004465180969310934,176.48232894019213,0.0,0.0,20,0,cnn_lstm_cql_thr0.1
1.047055744865712,0.7880255366034181,0.06059323642017482,9.601442841591245,9.601442841591245,-0.004465180969310934,176.48232894019213,0.0,0.0,20,0,cnn_lstm_cql_thr0.2
1.013297786246661,0.18873647419331552,0.1165120968980083,1.4843976109291015,1.8158537478845362,-0.01926660579108018,9.796041723171315,0.0857142857142857,1.714285714285714,20,1,cnn_lstm_cql_thr0
1.0136738260267446,0.18780673072690868,0.04560910964242459,3.774844769215535,3.774844769215535,-0.007522894658572891,24.964689690674998,0.0,0.0,20,1,cnn_lstm_cql_thr0.1
1.0136738260267446,0.18780673072690868,0.04560910964242459,3.774844769215535,3.774844769215535,-0.007522894658572891,24.964689690674998,0.0,0.0,20,1,cnn_lstm_cql_thr0.2
0.9682048968104452,-0.33273523350753764,0.07309986150176291,-5.530021162871106,1.1958622815187188,-0.02927171797878971,-11.367123506335966,0.9812347667241754,19.62469533448351,20,2,cnn_lstm_cql_thr0
0.969869002436767,-0.31814249782828075,0.07304352676735228,-5.238572095937592,1.1958622815187188,-0.029271717978789944,-10.868596713688083,0.9383776238670327,18.767552477340654,20,2,cnn_lstm_cql_thr0.1
0.969869002436767,-0.31814249782828075,0.07304352676735228,-5.238572095937592,1.1958622815187188,-0.029271717978789944,-10.868596713688083,0.9383776238670327,18.767552477340654,20,2,cnn_lstm_cql_thr0.2
1.0058054448011664,0.07605202935380073,0.02761130384104923,2.655053037460718,2.655053037460718,-0.006014953561576891,12.64382651922965,0.0,0.0,20,3,cnn_lstm_cql_thr0
1.0058054448011664,0.07605202935380073,0.02761130384104923,2.655053037460718,2.655053037460718,-0.006014953561576891,12.64382651922965,0.0,0.0,20,3,cnn_lstm_cql_thr0.1
1.0058054448011664,0.07605202935380073,0.02761130384104923,2.655053037460718,2.655053037460718,-0.006014953561576891,12.64382651922965,0.0,0.0,20,3,cnn_lstm_cql_thr0.2
0.9992529756940273,-0.009089224296801035,0.024511729007869697,-0.3724999524873343,1.1663931951950095,-0.003871201014891906,-2.347908119944226,0.0749415707391948,1.498831414783896,20,4,cnn_lstm_cql_thr0
1.001073098913292,0.014904481728265306,0.051919785814785006,0.2849575637857298,0.2849575637857298,-0.012383421838595981,1.2035834620291963,0.0,0.0,20,4,cnn_lstm_cql_thr0.1
1.001073098913292,0.014904481728265306,0.051919785814785006,0.2849575637857298,0.2849575637857298,-0.012383421838595981,1.2035834620291963,0.0,0.0,20,4,cnn_lstm_cql_thr0.2
1.0188038985708765,0.2651156095011744,0.03026706916187606,7.773242517002537,8.262562170936064,-0.002523785400553231,105.04681160413213,0.022636018037053902,0.452720360741078,20,5,cnn_lstm_cql_thr0
1.018367730029758,0.2583194153549091,0.03057746921720062,7.518013356042024,8.262562170936064,-0.002523785400553368,102.35395422220515,0.03333333333333333,0.6666666666666666,20,5,cnn_lstm_cql_thr0.1
1.0150761980434255,0.21009419200838053,0.06740410774165843,2.830248483923259,2.830248483923259,-0.013551395268998262,15.503509995684082,0.0,0.0,20,5,cnn_lstm_cql_thr0.2
