experiment,config,n_rolls,n_periods,two_stage_net_sharpe,integrated_net_sharpe,delta_integrated_minus_two_stage_sharpe,two_stage_net_nav,integrated_net_nav,two_stage_turnover,integrated_turnover,turnover_delta,two_stage_total_train_sec,integrated_total_train_sec
horizon12,step4_h10,12,240,1.476937907442381,1.1454643518131735,-0.3314735556292074,1.0739785340528427,1.0572335909962278,0.1225594239087686,0.1549295702683074,0.0323701463595387,3.0070645809173584,65.59259629249573
horizon12,step4_h20,12,240,1.5341484900752635,1.1899369286949122,-0.3442115613803513,1.0762514418914244,1.0580732830456534,0.1249443105643703,0.1560259027273527,0.0310815921629823,3.10893177986145,60.36207723617554
